location_day_id,event_date,location,district,governorate,deaths_total,injuries_total,incident_rows_combined,has_unquantified_report,component_incident_ids
LD-2026-03-10-الحوش (Al-Hosh),2026-03-10,الحوش (Al-Hosh),Tyre,South Lebanon,1,8,1,0,INC-0076
LD-2026-03-10-القليلة (Qlaile),2026-03-10,القليلة (Qlaile),Tyre,South Lebanon,2,0,1,0,INC-0077
LD-2026-03-10-جويا (Joya),2026-03-10,جويا (Joya),Tyre,South Lebanon,2,0,1,0,INC-0078
LD-2026-03-10-حناويه (Hanawiyeh),2026-03-10,حناويه (Hanawiyeh),Tyre,South Lebanon,3,2,1,0,INC-0079
LD-2026-03-10-زوطر الشرقية (Zawtar al-Sharqiya),2026-03-10,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,2,0,1,0,INC-0080
LD-2026-03-10-قانا (Qana),2026-03-10,قانا (Qana),Tyre,South Lebanon,5,5,1,0,INC-0081
LD-2026-03-10-قلاويه (Qalawiyeh),2026-03-10,قلاويه (Qalawiyeh),Bint Jbeil,Nabatieh,4,0,1,0,INC-0082
LD-2026-03-10-كفرجوز (Kfarjouz),2026-03-10,كفرجوز (Kfarjouz),Nabatieh,Nabatieh,1,0,1,0,INC-0083
LD-2026-03-11-Habbouch-Arabsalim area,2026-03-11,Habbouch-Arabsalim area,Nabatieh,Nabatieh,2,0,1,0,INC-0084
LD-2026-03-11-الرملة البيضاء (Ramlet al-Baida),2026-03-11,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,12,28,1,0,INC-0085
LD-2026-03-11-الشرقية (Sharqiya),2026-03-11,الشرقية (Sharqiya),Nabatieh,Nabatieh,3,0,1,0,INC-0086
LD-2026-03-11-الشهابية (Al-Shihabiyeh),2026-03-11,الشهابية (Al-Shihabiyeh),Tyre,South Lebanon,7,11,1,0,INC-0087
LD-2026-03-11-النبطية (Nabatieh city),2026-03-11,النبطية (Nabatieh city),Nabatieh,Nabatieh,1,0,1,0,INC-0088
LD-2026-03-11-برج الشمالي (Burj al-Shamali),2026-03-11,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,4,9,1,0,INC-0089
LD-2026-03-11-برعشيت (Bar'ashit),2026-03-11,برعشيت (Bar'ashit),Bint Jbeil,Nabatieh,1,0,1,0,INC-0090
LD-2026-03-11-بنت جبيل (Bint Jbeil city),2026-03-11,بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,1,0,INC-0092
LD-2026-03-11-بنت جبيل (Bint Jbeil),2026-03-11,بنت جبيل (Bint Jbeil),Bint Jbeil,Nabatieh,3,0,1,0,INC-0091
LD-2026-03-11-تبنين (Tibnine),2026-03-11,تبنين (Tibnine),Bint Jbeil,Nabatieh,8,0,1,0,INC-0093
LD-2026-03-11-تمنين التحتا (Tamnin al-Tahta),2026-03-11,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,8,17,1,0,INC-0094
LD-2026-03-11-دير أنطار (Deir Antar),2026-03-11,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,2,6,1,0,INC-0095
LD-2026-03-11-زلايا (Zalaya),2026-03-11,زلايا (Zalaya),West Bekaa,Bekaa,1,2,1,0,INC-0096
LD-2026-03-11-شعت (Chaat),2026-03-11,شعت (Chaat),Baalbek,Baalbek-Hermel,8,3,1,0,INC-0097
